batch_size,repetition,individual_valid,batch_valid,individual_ms,batch_ms,reduction_pct,individual_throughput,batch_throughput
200,9,1,1,207.5638,225.3453,-8.56676356859916,963.5591562690604,887.526831045511
200,10,1,1,207.1594,225.2467,-8.731102716072744,965.4401393323209,887.9153390482525
200,11,1,1,208.6257,234.9665,-12.625865365580559,958.6546623929842,851.1851689496162
200,12,1,1,210.5377,228.2764,-8.425426895040648,949.9486315277502,876.13086591518
200,13,1,1,209.4074,225.6485,-7.755743111274968,955.0760861364021,886.3342765407259
200,14,1,1,207.5291,227.1867,-9.47221377628487,963.7202686273877,880.333223731847
200,15,1,1,206.2692,224.4881,-8.832583827347946,969.6067081270494,890.9158213731597
200,16,1,1,206.0518,224.5201,-8.96294038683478,970.6297154404864,890.788842513432
200,17,1,1,205.889,224.0334,-8.812709761084852,971.3972091758179,892.7240313274717
200,18,1,1,205.4473,224.3591,-9.20518303233968,973.4856578791739,891.428072228851
200,19,1,1,206.9173,226.0229,-9.233447372452657,966.5697358316584,884.8660910022834
200,20,1,1,207.3486,225.1598,-8.58997842281066,964.5592012678167,888.2580282981243
200,21,1,1,207.6225,226.1107,-8.904718900889838,963.2867343375597,884.5224927435986
200,22,1,1,207.6511,224.8117,-8.264150779841756,963.1540598629142,889.6334132075866
200,23,1,1,220.6225,234.4891,-6.285215696495147,906.5258529841698,852.9181100528766
200,24,1,1,206.7226,225.257,-8.965831505602196,967.4800916784135,887.8747386318738
200,25,1,1,207.5691,225.5394,-8.657502489532407,963.5345530717242,886.7630223366738
200,26,1,1,207.2824,227.4362,-9.72287082743157,964.8672535632547,879.3674885528337
200,27,1,1,207.2348,225.939,-9.025607668210158,965.0888750345019,885.1946764392159
200,28,1,1,211.0902,223.6588,-5.954137141373689,947.4622696837655,894.2192303633927
200,29,1,1,207.7052,224.8877,-8.272542045167866,962.9031916389191,889.3327647532524
200,30,1,1,205.3839,223.2567,-8.702142670384573,973.7861633750259,895.8297780089018
300,1,1,1,312.5943,337.3132,-7.907661783980074,959.7103977903628,889.3811448825602
300,2,1,1,316.4744,341.7076,-7.973219950808031,947.9439727194364,877.9435985620454
300,3,1,1,334.0612,334.9177,-0.25639014647616654,898.0390419480024,895.742446577174
300,4,1,1,308.4932,333.883,-8.230262449869228,972.4687610618321,898.5183432519775
300,5,1,1,313.1109,337.1032,-7.662556621312129,958.1269767357188,889.9351889866367
300,6,1,1,309.8115,334.6351,-8.012485011047039,968.3307430485957,896.4989028347594
